;city;population
244;Velká Bíteš;5 574
245;Zubří;5 549
246;Fulnek;5 516
247;Úpice;5 500
248;Hradec nad Moravicí;5 485
249;Starý Plzenec;5 448
250;Jilemnice;5 443
251;Horní Slavkov;5 438
252;Brumov-Bylnice;5 424
253;Rudná;5 395
254;Strážnice;5 361
255;Stochov;5 354
256;Bakov nad Jizerou;5 316
257;Kosmonosy;5 304
258;Trhové Sviny;5 284
259;Jablunkov;5 257
260;Polná;5 230
261;Horšovský Týn;5 227
262;Jílové u Prahy;5 227
263;Unhošť;5 206
264;Telč;5 185
265;Horažďovice;5 142
266;Kdyně;5 139
267;Bor;5 132
268;Česká Skalice;5 122
269;Doksy;5 119
270;Nýrsko;5 113
271;Luhačovice;5 087
272;Česká Kamenice;5 082
273;Třemošná;5 051
274;Skuteč;5 042
275;Jílové;4 979
276;Heřmanův Městec;4 960
277;Pečky;4 889
278;Vizovice;4 886
279;Valašské Klobouky;4 880
280;Oslavany;4 871
281;Bechyně;4 838
282;Ledeč nad Sázavou;4 832
283;Bělá pod Bezdězem;4 827
284;Náměšť nad Oslavou;4 825
285;Chýně;4 817
286;Protivín;4 799
287;Vrbno pod Pradědem;4 752
288;Pacov;4 749
289;Zruč nad Sázavou;4 749
290;Habartov;4 717
291;Postoloprty;4 703
292;Votice;4 688
293;Lišov;4 687
294;Bystřice;4 686
295;Vamberk;4 676
296;Chropyně;4 668
297;Adamov;4 605
298;Meziboří;4 587
299;Bzenec;4 584
300;Cvikov;4 558
301;Osek;4 558
302;Planá nad Lužnicí;4 556
303;Klimkovice;4 536
304;Vracov;4 502
305;Kynšperk nad Ohří;4 496
306;Bojkovice;4 403
307;Sezemice;4 350
308;Kostelec nad Labem;4 336
309;Rožmitál pod Třemšínem;4 317
310;Hluk;4 289
311;Chlumec;4 280
312;Uherský Ostroh;4 277
313;Nová Role;4 244
314;Slatiňany;4 221
315;Hostinné;4 214
316;Blovice;4 196
317;Kostelec nad Černými lesy;4 194
318;Horní Bříza;4 191
319;Borovany;4 178
320;Brušperk;4 157
321;Police nad Metují;4 150
322;Králíky;4 126
323;Zdice;4 120
324;Mnichovice;4 095
325;Jaroměřice nad Rokytnou;4 085
326;Rajhrad;4 070
327;Přibyslav;4 041
